City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
272,clyde river,20,CA,1577132787,75,70.47,-68.59,-14.8,2.24
273,hovd,40,NO,1577132787,92,63.83,10.7,43.0,5.82
274,ossora,100,RU,1577132787,91,59.24,163.07,12.29,8.28
275,oktyabrskoye,40,RU,1577132787,84,56.73,85.44,12.99,13.42
276,almaznyy,75,RU,1577132787,81,48.03,40.04,44.6,20.13
277,ereymentau,100,KZ,1577132787,93,51.62,73.1,3.9,21.63
278,neder holluf,0,DK,1577132787,93,55.36,10.45,42.8,5.82
279,san patricio,0,PY,1577132787,39,-26.98,-56.83,83.5,3.13
280,ostrovnoy,100,RU,1577132787,91,68.05,39.51,19.6,16.24
281,malatya,75,TR,1577132540,86,38.35,38.32,39.2,4.7
282,cornelius,90,US,1577132788,87,45.52,-123.06,48.0,3.36
283,itaituba,40,BR,1577132788,55,-4.26,-55.99,91.4,3.36
284,broken hill,24,AU,1577132788,22,-31.97,141.45,75.2,5.82
285,tual,79,ID,1577132788,69,-5.67,132.75,83.95,3.51
286,la tuque,100,CA,1577132788,90,47.44,-72.79,33.39,8.5
287,witu,1,KE,1577132788,83,-2.39,40.44,80.6,8.05
288,road town,40,VG,1577132739,65,18.42,-64.62,84.2,8.05
289,mangai,58,CD,1577132788,95,-4.07,19.59,70.95,0.81
290,makakilo city,1,US,1577132788,61,21.35,-158.09,82.4,6.93
291,manavalakurichi,20,IN,1577132788,94,8.13,77.3,80.6,3.36
292,kudahuvadhoo,100,MV,1577132788,91,2.67,72.89,77.61,21.47
293,wanning,75,AT,1577132789,87,48.64,13.53,43.0,16.11
294,mahebourg,75,MU,1577132789,74,-20.41,57.7,80.6,13.87
295,kjollefjord,75,NO,1577132789,83,70.95,27.35,32.0,10.29
296,sosnovo-ozerskoye,0,RU,1577132789,90,52.53,111.54,-19.5,3.29
297,baykit,93,RU,1577132789,97,61.68,96.39,-14.78,1.88
298,flin flon,90,CA,1577132789,100,54.77,-101.88,17.6,6.93
299,cabedelo,0,BR,1577132789,69,-6.97,-34.84,82.4,14.99
300,pedregulho,73,BR,1577132789,86,-20.25,-47.48,73.58,5.44
301,chimore,61,BO,1577132789,49,-16.98,-65.13,88.9,0.74
302,alta floresta,20,BR,1577132789,62,-9.87,-56.08,89.6,2.24
303,cockburn town,40,TC,1577132511,61,21.46,-71.14,82.4,13.87
304,matagami,0,NG,1577132789,16,9.67,8.4,66.56,6.44
305,anadyr,90,RU,1577132789,77,64.73,177.51,-0.4,6.71
306,apricena,20,IT,1577132789,100,41.78,15.44,42.8,6.93
307,mansa,40,IN,1577132790,63,23.43,72.66,66.2,3.36
308,gat,0,SN,1577132790,24,14.69,-16.54,80.6,9.17
309,palana,100,RU,1577132790,95,59.08,159.95,7.03,4.18
310,moscow,90,RU,1577132568,100,55.75,37.62,45.0,4.47
311,grindavik,75,IS,1577132790,80,63.84,-22.43,35.6,2.24
312,datong,33,CN,1577132790,87,40.09,113.3,11.66,3.31
313,saurimo,100,AO,1577132790,94,-9.66,20.4,64.92,1.41
314,temirtau,90,KZ,1577132790,77,50.05,72.96,5.0,15.66
315,hokitika,0,NZ,1577132790,77,-42.72,170.96,55.47,5.06
316,mach,0,PK,1577132790,29,29.87,67.33,45.12,4.12
317,burladingen,75,DE,1577132790,87,48.29,9.11,45.0,4.7
318,ixtapa,5,MX,1577132790,42,20.71,-105.21,84.2,6.93
319,dhidhdhoo,100,MV,1577132790,78,6.88,73.1,81.5,19.22
320,asuncion,0,PY,1577132771,29,-25.3,-57.63,87.8,5.82
321,tombouctou,0,ML,1577132791,9,16.77,-3.01,73.38,8.99
322,hasaki,20,JP,1577132791,86,35.73,140.83,41.0,10.29
323,lacombe,75,CA,1577132791,85,52.47,-113.73,28.99,4.7
324,phenix city,90,US,1577132533,82,32.47,-85.0,55.4,6.93
325,tilichiki,100,RU,1577132791,85,60.47,166.1,7.27,11.18
326,shingu,38,JP,1577132791,60,33.72,135.99,52.11,16.33
327,itarema,21,BR,1577132791,76,-2.92,-39.92,79.61,13.09
328,torbat-e jam,0,IR,1577132791,49,35.24,60.63,40.78,0.81
329,north bend,1,US,1577132791,76,43.41,-124.22,48.99,3.36
330,dalmatovo,100,RU,1577132791,95,56.26,62.94,20.91,7.72
331,ribeira brava,75,PT,1577132792,72,32.65,-17.07,66.2,8.05
332,rurrenabaque,75,BO,1577132792,88,-14.44,-67.53,82.4,1.86
333,pitanga,0,BR,1577132792,67,-24.76,-51.76,70.59,4.74
